bottle,alkalinity_certified,alkalinity
JUNK-230714-1,,2415.4971584886125
JUNK-230714-2,,2415.5576332878663
JUNK-230714-3,,2415.999480924517
CRM-198-0161-1,2200.67,2200.6699999931616
1.1.1,,2438.8858850769716
1.2.1,,2440.852287508309
3.2.1,,2507.8819118419365
4.1.2,,2525.03744185109
5.1.1,,2510.261505948459
5.1.2,,2509.706024625283
7.1.1,,2493.234731473512
7.1.2,,2492.149265437628
8.1.1,,2488.4387643714817
12.2.1,,2435.056570482111
11.1.1,,2433.4335366552973
14.1.1,,2416.970613507983
15.2.1,,2419.937384150673
2.1.1,,1722.5223793462785
JUNK-230714-4,,2417.9263783496754
JUNK-230713-1,,2411.897335473602
JUNK-230713-2,,2412.807283169546
JUNK-230713-3,,2413.2990745216266
CRM-198-0161-2,2200.67,2200.6700000012074
3.1.1,,2488.961063412666
4.1.1,,2502.010072827175
4.2.1,,2523.0544190811047
6.1 .1,,2499.7115122450514
9.1 .1,,2466.807124720053
12.1 .1,,2428.960689289179
10.1 .1,,2439.2632994327655
13.1 .1,,2427.537772661123
15.1.1,,2421.209017574227
NUTS,,1814.6355582341475
JUNK-230714-4,,2414.1173906856957
